7749,12248,12009,12008
13545,8800,13544,13297
8067,3492,8066,3259
9391,15105,14033,14129
18429,13764,18406,18407
9937,5690,10493,10466
9635,6314,9663,5110
12699,8065,12465,12566
1224,6310,5798,6106
17672,17842,13030,17915
6319,202,5870,4776
9170,9880,6340,10717
3159,7971,3397,3160
5445,5944,10715,6638
8800,3980,8785,8554
10607,5376,9928,10871
2598,7417,7173,7172
7613,7834,12357,7603
16862,12219,16861,11975
7869,3294,8104,7868
2080,6654,1992,2079
17968,13326,13082,13083
10252,14894,9807,9337
13534,8803,13317,13565
5628,1054,5807,6476
999,340,5573,926
7427,11976,12220,7645
16953,16954,12078,16720
8121,3309,7883,7884
17849,18096,13207,18036
10297,10849,6514,9671
2605,7423,7179,7248
9267,9496,10027,14669
8367,8610,13035,8611
9118,4544,13781,9122
10434,4778,9182,5673
7805,12319,12320,12090
12532,17174,12531,17407
5755,403,6129,1181
3706,8521,3707,8281
4290,4201,8864,9025
13727,13728,13778,9112
12745,8343,12982,8106
5269,4925,5791,351
8450,8529,8289,3715
5521,9525,4809,9246
1815,1422,6389,836
8941,4367,9070,4244
8425,12667,8185,8230
8074,3500,8309,8308
7288,11790,11791,11549
6200,6269,4693,119
6963,7202,7164,2389
8801,3981,8555,8802
9242,5969,9859,5547
18112,17865,13223,18061
16773,16785,11905,16547
8316,8557,13287,8556
89,1343,5917,379
13178,13279,18067,13425
13742,13740,13741,18384
10797,9854,10870,4991
11189,15831,11184,11185
4513,9087,4260,4261
1869,6630,2056,1184
12516,8130,12565,12749
6045,946,6131,5520
16519,11639,16281,16520
10766,5870,10370,6605
5716,9154,9298,6461
15254,10612,10553,9344
9177,5885,9271,10149
11236,15878,11005,15906
7410,7423,7179,2605
4628,10273,6342,10582
14907,9206,14275,13848
9192,10824,4621,10716
9080,9081,13759,9009
2098,6938,2283,2364
7869,7870,12609,8105
5714,1001,5575,6425
14672,14356,9714,15060
5167,155,6313,4729
12697,12934,17576,12696
6589,1989,6563,6614
4431,4432,9083,4509
17721,12841,17720,17483
15484,15168,9705,10526
6719,6534,10761,11355
6636,2046,6651,6620
9754,5531,9985,9859
15195,9795,15254,14437
3550,3789,8363,3788
12417,12650,12649,8172
4837,5672,9212,4721
13518,18413,13771,13717
5376,402,5524,802
515,5089,6161,5854
9168,14325,13810,14268
13757,9083,13756,9006
5181,5477,9767,4693
7648,7423,7410,2836
302,5701,689,1127
6947,2113,6687,6863
16036,11298,16215,11394
17189,12317,16960,12318
12329,7836,12484,7835
6113,6624,10496,5650
11182,4964,11178,11181
13568,13729,18371,13567
6216,275,1642,605
18395,13526,18421,18168
12589,7847,12359,12577
15250,10608,10446,15257
7922,3114,7898,3324
16605,11719,16362,16361
8273,8513,8512,3699
16813,16766,11930,12124
12086,12315,16957,12314
8546,3971,8545,3732
4165,4166,8990,4416
5131,390,5360,4964
9744,15329,10687,10392
12790,17670,12791,17433
6943,6873,11334,6679
12497,12478,17139,17354
7336,7337,12017,7520
6621,6914,11617,6913
13074,13075,17960,13318
3381,8191,3617,8192
15817,16162,16161,11175
16444,11559,16201,16202
12280,7744,12043,7776
8228,12961,8229,12723
10705,10450,9184,15347
6200,119,4708,134
4927,9209,4999,9341
7376,2801,7375,2560
10819,10546,15461,10531
16968,16738,12095,16737
13891,13839,9197,9171
5511,611,5185,5327
4750,6201,5481,176
13261,13262,17904,18150
13049,13290,13291,17933
5315,465,5039,6154
7479,11965,7478,7717
7145,2571,7387,7314
11577,16221,11579,16460
5843,608,5420,846
6895,6885,11653,11419
17644,12766,13002,17646
11120,15762,11111,11113
7210,7067,11584,7307
8233,8221,3647,3423
3177,7751,2939,3176
6732,10974,11314,10969
12442,7954,12441,12676
2820,7584,2821,7395
12321,12550,12320,8041
9999,9759,11291,6666
11187,11523,11522,7026
2312,2550,7124,2549
5756,11029,6826,6744
17093,17094,17328,12451
11584,7067,11820,7307
6929,6661,11399,6662
10173,5874,9537,9217
13277,18163,13521,18166
12572,17447,12704,12805
7789,12524,7788,8022
6856,5929,1243,1355
4351,4172,8997,8925
8789,8788,13199,8543
625,1377,5951,778
12978,12977,17862,17620
4606,6685,6672,32
13366,18259,18258,13616
4669,9718,10839,9959
8027,12534,12303,7793
8549,8548,13051,8309
17122,17356,12480,17357
8891,8734,13246,13492
2724,7298,2482,2686
3437,3671,3672,8246
8739,3919,8493,8494
12765,12766,12532,17408
8718,13210,12968,8472
7049,7048,11551,11251
7072,2498,2248,2249
12066,16883,12138,16780
8432,8191,3617,8431
8524,8283,8523,13028
14904,14019,15228,9377
2877,2635,7452,2878
2312,2277,6886,1984
778,1377,6346,1772
12066,7145,11822,11823
13208,8716,12966,13209
8277,3468,8276,8042
13199,18088,13446,18089
7452,2636,7307,2733
12035,11792,11791,16677
1299,6486,60,1912
11849,16492,11850,11603
716,30,6389,5290
12480,12249,12481,7986
16269,11627,16431,16340
8068,7835,3261,7988
14308,9376,14151,14018
5408,9503,5480,10048
1629,488,6389,1815
1280,515,6161,5854
6427,608,5182,5843
3011,2767,3010,7585
5996,5057,10319,4697
3495,8303,3729,8304
8523,8524,3949,3709
7135,7377,11880,12118
17767,13125,18013,18012
